day,hour_of_day,transaction_type,old_balance_orig,amount,new_balance_orig,balance_change_orig,old_balance_dest,new_balance_dest,balance_change_dest,dest_is_merchant,zero_orig_balance,is_fraud,fraud_label
2,20,CASH_OUT,100126.0,132422.11,0.0,-100126.0,0.0,132422.11,132422.11,0,0,0,legitimate
1,10,PAYMENT,0.0,3148.35,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
4,7,TRANSFER,432254.84,432254.84,0.0,-432254.84,0.0,0.0,0.0,0,0,1,fraud
1,1,TRANSFER,105867.0,15326.3,90540.7,-15326.3,0.0,15326.3,15326.3,0,0,0,legitimate
1,17,CASH_OUT,165.0,123583.02,0.0,-165.0,244650.18,368233.2,123583.02,0,0,0,legitimate
1,18,PAYMENT,0.0,20035.48,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,10,PAYMENT,783742.06,1995.08,781746.99,-1995.07,0.0,0.0,0.0,1,0,0,legitimate
2,18,CASH_IN,2844266.02,27582.22,2871848.25,27582.23,1407778.84,1380196.62,-27582.22,0,0,0,legitimate
1,15,CASH_OUT,0.0,282618.01,0.0,0.0,960346.74,1242964.75,282618.01,0,1,0,legitimate
1,19,CASH_OUT,0.0,82851.17,0.0,0.0,1719466.18,1635287.78,-84178.4,0,1,0,legitimate
1,20,PAYMENT,54778.0,1088.51,53689.49,-1088.51,0.0,0.0,0.0,1,0,0,legitimate
1,14,CASH_OUT,15883.0,290576.48,0.0,-15883.0,0.0,366055.52,366055.52,0,0,0,legitimate
1,12,CASH_OUT,51041.0,431317.52,0.0,-51041.0,0.0,431317.52,431317.52,0,0,0,legitimate
2,22,PAYMENT,0.0,6510.47,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,14,CASH_OUT,0.0,79606.53,0.0,0.0,358487.4,260418.04,-98069.36,0,1,0,legitimate
1,17,CASH_IN,90004.0,163665.18,253669.18,163665.18,244161.76,80496.58,-163665.18,0,0,0,legitimate
1,15,CASH_OUT,21110.0,410007.0,0.0,-21110.0,1804180.59,2214187.59,410007.0,0,0,0,legitimate
1,18,CASH_OUT,37068.0,179141.65,0.0,-37068.0,6390.0,185531.65,179141.65,0,0,0,legitimate
1,10,CASH_OUT,199620.0,279861.86,0.0,-199620.0,0.0,415570.98,415570.98,0,0,0,legitimate
2,17,CASH_IN,12662912.8,261879.28,12924792.08,261879.28,409214.34,147335.05,-261879.29,0,0,0,legitimate
2,10,CASH_IN,3312374.47,229136.61,3541511.08,229136.61,249286.13,20149.52,-229136.61,0,0,0,legitimate
1,16,PAYMENT,9213.0,19150.81,0.0,-9213.0,0.0,0.0,0.0,1,0,0,legitimate
1,17,CASH_OUT,70397.0,177711.43,0.0,-70397.0,289780.63,467492.06,177711.43,0,0,0,legitimate
2,21,PAYMENT,0.0,9692.5,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,14,CASH_OUT,0.0,113802.26,0.0,0.0,266695.76,230071.46,-36624.3,0,1,0,legitimate
4,9,TRANSFER,221936.6,221936.6,0.0,-221936.6,0.0,0.0,0.0,0,0,1,fraud
1,19,CASH_IN,2696013.93,359184.11,3055198.04,359184.11,500493.42,141309.3,-359184.12,0,0,0,legitimate
2,15,CASH_IN,2799753.31,45735.91,2845489.22,45735.91,824193.82,768926.85,-55266.97,0,0,0,legitimate
2,13,CASH_OUT,87603.0,168921.45,0.0,-87603.0,193685.93,362607.38,168921.45,0,0,0,legitimate
2,18,CASH_OUT,0.0,50578.62,0.0,0.0,497186.08,547764.7,50578.62,0,1,0,legitimate
2,17,PAYMENT,0.0,14666.66,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,9,PAYMENT,760785.36,23445.62,737339.73,-23445.63,0.0,0.0,0.0,1,0,0,legitimate
1,21,PAYMENT,0.0,4215.38,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,19,CASH_OUT,39682.0,117299.32,0.0,-39682.0,0.0,117299.32,117299.32,0,0,0,legitimate
1,18,CASH_IN,49903.0,130821.42,180724.42,130821.42,0.0,0.0,0.0,0,0,0,legitimate
1,14,TRANSFER,11507.82,1265059.77,0.0,-11507.82,1371340.07,4157976.52,2786636.45,0,0,0,legitimate
1,22,DEBIT,142182.69,2812.14,139370.55,-2812.14,4425323.37,4428135.52,2812.15,0,0,0,legitimate
1,18,PAYMENT,0.0,3054.17,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,19,PAYMENT,20954.0,4233.67,16720.33,-4233.67,0.0,0.0,0.0,1,0,0,legitimate
1,20,CASH_OUT,0.0,67267.92,0.0,0.0,187136.79,254404.7,67267.91,0,1,0,legitimate
2,15,PAYMENT,1052.0,3709.45,0.0,-1052.0,0.0,0.0,0.0,1,0,0,legitimate
1,14,PAYMENT,122934.66,10578.49,112356.17,-10578.49,0.0,0.0,0.0,1,0,0,legitimate
1,19,TRANSFER,0.0,972292.66,0.0,0.0,1720237.95,2692530.61,972292.66,0,1,0,legitimate
2,15,TRANSFER,0.0,685938.08,0.0,0.0,1112754.8,1798692.88,685938.08,0,1,0,legitimate
1,12,PAYMENT,0.0,3817.61,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,19,CASH_IN,4404.0,147192.58,151596.58,147192.58,383700.41,236507.84,-147192.57,0,0,0,legitimate
1,19,CASH_OUT,21000.91,116875.26,0.0,-21000.91,1426150.96,1543026.21,116875.25,0,0,0,legitimate
1,10,TRANSFER,21123.0,780417.39,0.0,-21123.0,0.0,780417.39,780417.39,0,0,0,legitimate
1,7,PAYMENT,82.0,15617.71,0.0,-82.0,0.0,0.0,0.0,1,0,0,legitimate
1,16,CASH_IN,13078.0,232335.42,245413.42,232335.42,88949.97,0.0,-88949.97,0,0,0,legitimate
1,14,PAYMENT,5278.0,12356.06,0.0,-5278.0,0.0,0.0,0.0,1,0,0,legitimate
1,15,CASH_OUT,0.0,19316.9,0.0,0.0,2623300.66,2642617.56,19316.9,0,1,0,legitimate
1,11,PAYMENT,49544.0,1753.55,47790.45,-1753.55,0.0,0.0,0.0,1,0,0,legitimate
2,16,TRANSFER,12032.0,92783.76,0.0,-12032.0,23973.15,116756.91,92783.76,0,0,0,legitimate
1,16,PAYMENT,38605.75,6809.73,31796.02,-6809.73,0.0,0.0,0.0,1,0,0,legitimate
2,13,CASH_IN,7595055.54,127712.76,7722768.3,127712.76,242173.9,114461.14,-127712.76,0,0,0,legitimate
1,13,PAYMENT,5085.0,7727.96,0.0,-5085.0,0.0,0.0,0.0,1,0,0,legitimate
2,15,PAYMENT,0.0,10429.22,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,17,CASH_OUT,102547.0,70318.18,32228.82,-70318.18,183408.62,335123.43,151714.81,0,0,0,legitimate
1,15,CASH_OUT,1775.0,154363.72,0.0,-1775.0,957315.9,1295524.69,338208.79,0,0,0,legitimate
1,17,CASH_OUT,0.0,39045.4,0.0,0.0,271074.68,310120.07,39045.39,0,1,0,legitimate
1,20,CASH_OUT,20437.0,66331.93,0.0,-20437.0,1546212.48,1612544.41,66331.93,0,0,0,legitimate
2,13,CASH_OUT,0.0,57502.25,0.0,0.0,14384312.9,14441815.15,57502.25,0,1,0,legitimate
1,14,CASH_OUT,6590.0,243953.36,0.0,-6590.0,0.0,243953.36,243953.36,0,0,0,legitimate
2,9,PAYMENT,472447.64,4507.63,467940.0,-4507.64,0.0,0.0,0.0,1,0,0,legitimate
1,20,CASH_OUT,21440.0,118450.13,0.0,-21440.0,9206368.45,9584378.32,378009.87,0,0,0,legitimate
2,13,TRANSFER,99032.0,1446156.45,0.0,-99032.0,0.0,1446156.45,1446156.45,0,0,0,legitimate
1,16,CASH_OUT,24052.0,189199.18,0.0,-24052.0,506591.78,695790.96,189199.18,0,0,0,legitimate
1,16,CASH_IN,8634882.7,57466.58,8692349.28,57466.58,7114030.87,7056564.3,-57466.57,0,0,0,legitimate
1,18,CASH_IN,2433318.12,27574.41,2460892.53,27574.41,1466977.07,1479038.93,12061.86,0,0,0,legitimate
2,12,PAYMENT,36449.0,6400.59,30048.41,-6400.59,0.0,0.0,0.0,1,0,0,legitimate
2,19,CASH_IN,99725.0,299939.17,399664.17,299939.17,2383612.72,2083673.55,-299939.17,0,0,0,legitimate
2,15,CASH_IN,0.0,113759.98,113759.98,113759.98,0.0,0.0,0.0,0,1,0,legitimate
4,22,CASH_IN,4654931.85,45352.7,4700284.55,45352.7,162832.63,117479.93,-45352.7,0,0,0,legitimate
2,15,PAYMENT,2440.53,15232.82,0.0,-2440.53,0.0,0.0,0.0,1,0,0,legitimate
1,20,CASH_IN,2988102.33,37843.47,3025945.8,37843.47,357228.85,319385.38,-37843.47,0,0,0,legitimate
1,13,CASH_OUT,0.0,287001.74,0.0,0.0,442176.74,1189006.45,746829.71,0,1,0,legitimate
1,15,CASH_OUT,0.0,458406.82,0.0,0.0,3031348.23,3489755.05,458406.82,0,1,0,legitimate
2,14,PAYMENT,560424.0,13747.48,546676.52,-13747.48,0.0,0.0,0.0,1,0,0,legitimate
2,18,CASH_OUT,423.0,480998.56,0.0,-423.0,0.0,480998.56,480998.56,0,0,0,legitimate
1,13,CASH_OUT,121646.0,280613.03,0.0,-121646.0,0.0,280613.03,280613.03,0,0,0,legitimate
1,18,PAYMENT,0.0,10325.09,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,19,CASH_OUT,0.0,78629.65,0.0,0.0,1051725.83,1130355.49,78629.66,0,1,0,legitimate
2,10,CASH_OUT,293946.0,362562.34,0.0,-293946.0,0.0,362562.34,362562.34,0,0,0,legitimate
1,12,TRANSFER,554.0,414493.29,0.0,-554.0,318621.95,733115.24,414493.29,0,0,0,legitimate
1,17,PAYMENT,2598.0,33031.68,0.0,-2598.0,0.0,0.0,0.0,1,0,0,legitimate
2,18,CASH_OUT,5855.0,174240.33,0.0,-5855.0,7574016.94,7748257.27,174240.33,0,0,0,legitimate
1,20,PAYMENT,12742.0,30927.16,0.0,-12742.0,0.0,0.0,0.0,1,0,0,legitimate
2,14,CASH_OUT,210672.0,251400.8,0.0,-210672.0,540301.86,791702.66,251400.8,0,0,0,legitimate
2,13,CASH_OUT,0.0,68030.26,0.0,0.0,306723.93,374754.18,68030.25,0,1,0,legitimate
1,7,PAYMENT,10538.0,573.28,9964.72,-573.28,0.0,0.0,0.0,1,0,0,legitimate
1,12,CASH_OUT,26569.0,215399.27,0.0,-26569.0,36817.49,319165.94,282348.45,0,0,0,legitimate
4,22,PAYMENT,16697.0,2960.9,13736.1,-2960.9,0.0,0.0,0.0,1,0,0,legitimate
2,18,CASH_OUT,0.0,193293.34,0.0,0.0,1268360.02,1461653.36,193293.34,0,1,0,legitimate
2,10,CASH_IN,1957391.6,38688.6,1996080.21,38688.61,599643.23,560954.63,-38688.6,0,0,0,legitimate
2,17,CASH_OUT,0.0,68770.34,0.0,0.0,389023.49,457793.84,68770.35,0,1,0,legitimate
2,12,CASH_OUT,0.0,170559.53,0.0,0.0,28803812.79,28974372.32,170559.53,0,1,0,legitimate
2,18,CASH_OUT,519522.94,52639.66,466883.29,-52639.65,233711.72,286351.38,52639.66,0,0,0,legitimate
1,17,PAYMENT,0.0,18253.52,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,17,PAYMENT,22699.0,5984.17,16714.83,-5984.17,0.0,0.0,0.0,1,0,0,legitimate
3,24,TRANSFER,730574.39,730574.39,0.0,-730574.39,0.0,0.0,0.0,0,0,1,fraud
1,11,TRANSFER,0.0,325707.69,0.0,0.0,1719228.59,1961554.44,242325.85,0,1,0,legitimate
2,14,CASH_OUT,0.0,13074.33,0.0,0.0,3810062.13,3823136.46,13074.33,0,1,0,legitimate
1,18,TRANSFER,0.0,1239537.63,0.0,0.0,2680829.62,4037944.13,1357114.51,0,1,0,legitimate
1,9,PAYMENT,0.0,7059.74,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,20,PAYMENT,0.0,5396.05,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,18,CASH_IN,1120400.05,218301.33,1338701.38,218301.33,1818878.0,1600576.67,-218301.33,0,0,0,legitimate
1,17,CASH_IN,1854198.61,243091.49,2097290.1,243091.49,878411.19,635319.7,-243091.49,0,0,0,legitimate
1,11,CASH_OUT,0.0,151961.66,0.0,0.0,4368190.09,3866959.66,-501230.43,0,1,0,legitimate
1,15,PAYMENT,620035.66,33198.01,586837.66,-33198.0,0.0,0.0,0.0,1,0,0,legitimate
2,16,CASH_OUT,0.0,368894.35,0.0,0.0,518792.87,887687.21,368894.34,0,1,0,legitimate
2,20,CASH_IN,39811.0,114512.88,154323.88,114512.88,273054.36,158541.48,-114512.88,0,0,0,legitimate
1,9,PAYMENT,105120.0,9294.36,95825.64,-9294.36,0.0,0.0,0.0,1,0,0,legitimate
4,21,CASH_OUT,8018.0,126122.09,0.0,-8018.0,91716.09,217838.18,126122.09,0,0,0,legitimate
1,17,CASH_IN,85022.0,213358.76,298380.76,213358.76,7073557.03,6860198.27,-213358.76,0,0,0,legitimate
2,11,TRANSFER,122032.62,122032.62,0.0,-122032.62,0.0,0.0,0.0,0,0,1,fraud
1,14,PAYMENT,0.0,4203.15,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,15,CASH_OUT,318969.0,12041.09,306927.91,-12041.09,8569228.3,8581269.39,12041.09,0,0,0,legitimate
1,10,PAYMENT,3684581.29,8681.94,3675899.35,-8681.94,0.0,0.0,0.0,1,0,0,legitimate
2,21,TRANSFER,79887.0,279964.1,0.0,-79887.0,385702.87,665666.97,279964.1,0,0,0,legitimate
2,19,CASH_OUT,11133.0,436371.91,0.0,-11133.0,0.0,436371.91,436371.91,0,0,0,legitimate
4,18,CASH_OUT,703833.48,703833.48,0.0,-703833.48,0.0,703833.48,703833.48,0,0,1,fraud
1,8,PAYMENT,193030.86,5160.8,187870.06,-5160.8,0.0,0.0,0.0,1,0,0,legitimate
2,17,CASH_IN,20700.0,224296.38,244996.38,224296.38,486637.08,262340.71,-224296.37,0,0,0,legitimate
1,11,PAYMENT,302765.67,10780.95,291984.72,-10780.95,0.0,0.0,0.0,1,0,0,legitimate
2,12,CASH_OUT,34148.0,129415.0,0.0,-34148.0,636104.01,765519.01,129415.0,0,0,0,legitimate
1,13,CASH_IN,2816198.32,151404.6,2967602.92,151404.6,493432.03,342027.43,-151404.6,0,0,0,legitimate
2,14,PAYMENT,33247.0,5779.8,27467.2,-5779.8,0.0,0.0,0.0,1,0,0,legitimate
1,13,CASH_OUT,0.0,61167.18,0.0,0.0,1231057.62,955094.76,-275962.86,0,1,0,legitimate
2,10,CASH_IN,2667064.8,191794.53,2858859.34,191794.54,2146294.02,1954499.49,-191794.53,0,0,0,legitimate
1,15,PAYMENT,305639.0,8064.34,297574.66,-8064.34,0.0,0.0,0.0,1,0,0,legitimate
2,10,PAYMENT,0.0,15919.45,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,15,CASH_IN,29032914.77,39647.96,29072562.73,39647.96,429125.98,389478.02,-39647.96,0,0,0,legitimate
1,7,PAYMENT,10545.0,5203.51,5341.49,-5203.51,0.0,0.0,0.0,1,0,0,legitimate
2,15,PAYMENT,23894.79,21809.27,2085.53,-21809.26,0.0,0.0,0.0,1,0,0,legitimate
2,17,PAYMENT,267773.4,5835.97,261937.43,-5835.97,0.0,0.0,0.0,1,0,0,legitimate
3,20,TRANSFER,915266.65,915266.65,0.0,-915266.65,0.0,0.0,0.0,0,0,1,fraud
1,21,CASH_IN,185145.1,189689.65,374834.75,189689.65,1858485.8,1668796.15,-189689.65,0,0,0,legitimate
1,13,PAYMENT,12217.0,25062.23,0.0,-12217.0,0.0,0.0,0.0,1,0,0,legitimate
2,9,CASH_OUT,0.0,57021.24,0.0,0.0,375834.48,432855.73,57021.25,0,1,0,legitimate
2,20,CASH_OUT,0.0,181313.13,0.0,0.0,1183466.24,1364779.37,181313.13,0,1,0,legitimate
1,7,CASH_IN,13056.0,16519.75,29575.75,16519.75,21188.0,0.0,-21188.0,0,0,0,legitimate
4,5,TRANSFER,239473.85,239473.85,0.0,-239473.85,0.0,0.0,0.0,0,0,1,fraud
2,19,CASH_OUT,0.0,167334.61,0.0,0.0,1317780.85,1485115.46,167334.61,0,1,0,legitimate
1,15,PAYMENT,21438.0,1210.28,20227.72,-1210.28,0.0,0.0,0.0,1,0,0,legitimate
1,16,CASH_OUT,481356.0,334366.27,146989.73,-334366.27,12506.0,1464554.09,1452048.09,0,0,0,legitimate
1,12,CASH_OUT,49534.0,384869.05,0.0,-49534.0,0.0,694429.58,694429.58,0,0,0,legitimate
2,12,PAYMENT,82459.95,6492.05,75967.9,-6492.05,0.0,0.0,0.0,1,0,0,legitimate
2,11,CASH_OUT,25807.0,182192.55,0.0,-25807.0,300099.2,482291.75,182192.55,0,0,0,legitimate
1,10,CASH_IN,4175595.2,103492.18,4279087.38,103492.18,2000777.58,1916398.71,-84378.87,0,0,0,legitimate
1,18,PAYMENT,0.0,3153.16,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,12,CASH_OUT,0.0,16425.15,0.0,0.0,149946.55,166371.7,16425.15,0,1,0,legitimate
1,8,CASH_OUT,0.0,37746.82,0.0,0.0,50264.0,0.0,-50264.0,0,1,0,legitimate
1,14,CASH_OUT,0.0,147024.76,0.0,0.0,677997.36,899192.71,221195.35,0,1,0,legitimate
1,15,CASH_OUT,0.0,145661.95,0.0,0.0,3483962.33,4523702.22,1039739.89,0,1,0,legitimate
2,23,CASH_OUT,12387.0,111590.52,0.0,-12387.0,10554296.98,10665887.5,111590.52,0,0,0,legitimate
2,9,TRANSFER,31148.75,158827.38,0.0,-31148.75,606366.82,765194.2,158827.38,0,0,0,legitimate
2,12,CASH_IN,155.0,27881.58,28036.58,27881.58,0.0,0.0,0.0,0,0,0,legitimate
2,11,CASH_IN,308235.36,90947.52,399182.88,90947.52,0.0,0.0,0.0,0,0,0,legitimate
2,12,PAYMENT,0.0,10714.64,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,21,PAYMENT,0.0,17247.52,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,13,CASH_OUT,156620.0,342178.54,0.0,-156620.0,82240.95,424419.49,342178.54,0,0,0,legitimate
4,19,TRANSFER,28308.97,28308.97,0.0,-28308.97,0.0,0.0,0.0,0,0,1,fraud
1,18,CASH_IN,33799.0,91784.64,125583.64,91784.64,168341.14,76556.5,-91784.64,0,0,0,legitimate
2,13,CASH_OUT,0.0,16233.45,0.0,0.0,1385414.35,1401647.8,16233.45,0,1,0,legitimate
2,11,CASH_IN,63076.0,170283.95,233359.95,170283.95,189458.95,19175.0,-170283.95,0,0,0,legitimate
2,9,TRANSFER,214975.9,214975.9,0.0,-214975.9,0.0,0.0,0.0,0,0,1,fraud
2,20,CASH_OUT,0.0,64902.59,0.0,0.0,219675.0,284577.59,64902.59,0,1,0,legitimate
1,21,CASH_IN,1445647.84,228370.96,1674018.81,228370.97,3713080.4,3484709.43,-228370.97,0,0,0,legitimate
2,24,PAYMENT,22756.0,3105.77,19650.23,-3105.77,0.0,0.0,0.0,1,0,0,legitimate
2,14,CASH_OUT,448985.16,65716.15,383269.01,-65716.15,276070.71,341786.86,65716.15,0,0,0,legitimate
1,1,CASH_IN,3567618.59,248196.92,3815815.51,248196.92,318051.05,16997.22,-301053.83,0,0,0,legitimate
1,18,TRANSFER,9131.0,9131.0,0.0,-9131.0,0.0,0.0,0.0,0,0,1,fraud
2,19,CASH_IN,7092464.64,139472.65,7231937.29,139472.65,579580.88,440108.23,-139472.65,0,0,0,legitimate
1,16,CASH_IN,49715.0,173037.98,222752.98,173037.98,0.0,0.0,0.0,0,0,0,legitimate
2,14,PAYMENT,0.0,13784.45,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,13,CASH_IN,220091.0,190077.0,410168.0,190077.0,0.0,0.0,0.0,0,0,0,legitimate
2,20,CASH_OUT,0.0,61802.79,0.0,0.0,269088.47,499380.57,230292.1,0,1,0,legitimate
1,19,CASH_IN,25753.0,155046.4,180799.4,155046.4,4204172.2,4049125.81,-155046.39,0,0,0,legitimate
1,8,CASH_IN,3492646.54,496485.91,3989132.45,496485.91,1171414.05,318323.43,-853090.62,0,0,0,legitimate
2,18,PAYMENT,113228.0,6449.3,106778.7,-6449.3,0.0,0.0,0.0,1,0,0,legitimate
1,18,CASH_OUT,144921.0,59906.55,85014.45,-59906.55,192.0,0.0,-192.0,0,0,0,legitimate
1,8,CASH_IN,2113268.03,170690.0,2283958.03,170690.0,1483263.24,1236584.82,-246678.42,0,0,0,legitimate
1,10,CASH_OUT,0.0,360081.26,0.0,0.0,1156483.42,1550748.58,394265.16,0,1,0,legitimate
1,21,PAYMENT,128793.28,15685.28,113108.0,-15685.28,0.0,0.0,0.0,1,0,0,legitimate
2,12,CASH_OUT,659.0,379492.6,0.0,-659.0,4939.25,636872.84,631933.59,0,0,0,legitimate
2,13,PAYMENT,1920.0,27058.28,0.0,-1920.0,0.0,0.0,0.0,1,0,0,legitimate
2,10,PAYMENT,0.0,13013.35,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,13,PAYMENT,124073.0,22971.07,101101.93,-22971.07,0.0,0.0,0.0,1,0,0,legitimate
1,10,CASH_IN,1068375.5,235323.01,1303698.51,235323.01,2948478.71,5126001.02,2177522.31,0,0,0,legitimate
4,12,TRANSFER,2627070.5,2627070.5,0.0,-2627070.5,0.0,0.0,0.0,0,0,1,fraud
2,12,PAYMENT,0.0,8274.85,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
